Product_ID,Product_Category,Launch_Region,Development_Cost,Launch_Marketing_Spend,Unit_Selling_Price,Unit_Production_Cost,First_Year_Units_Sold,Distribution_Coverage,Customer_Rating,First_Year_Profit
PRD-3058,Home Automation,Asia-Pacific,244000,150000,189.53,-69.16,12800,0.74,4.1,1146736
PRD-1599,Consumer Electronics,Asia-Pacific,340000,260000,290.29,130.54,18100,0.85,4.4,2291475.0000000005
PRD-2147,Gaming Gear,Asia-Pacific,185000,160000,172.79,73.44,24000,0.74,5,2039400
PRD-1885,Personal Audio,,69000,40000,45.99,19.06,18200,0.69,3.5,381126.00000000006
PRD-1286,Gaming Gear,North America,,265000,335.04,145.8,22300,0.89,4.9,3556052
PRD-2322,Smart Home,Europe,157000,114000,153.99,58.58,12500,0.81,4.8,921625.0000000002
PRD-2166,Gaming Gear,Middle East,197000,139000,172.89,77.04,5100,0.5,4,152834.99999999988
PRD-1387,Office Equipment,Latin America,86000,57000,79.72,29.68,6500,0.6,4.2,182260
PRD-2793,Outdoor Tech,North America,178000,136000,159.75,60.8,12500,0.77,4.3,922875
PRD-1527,Office Equipment,Europe,97000,65000,89,31.28,12000,0.78,4.4,530640
PRD-2125,Personal Audio,Latin America,60000,41000,51.99,17.95,16300,0.69,4,453852.0000000001
PRD-1192,Wearable Tech,Asia-Pacific,272000,217000,229.54,100.94,15000,0.8,3.9,1440000
PRD-3344,Wearable Tech,North America,323000,216000,287.04,124.2,17300,0.93,4.2,2278132.0000000005
PRD-2407,Office Equipment,Latin America,95000,53000,70.78,25.48,8000,0.6,4,214400
PRD-3284,Wearable Tech,North America,333000,183000,278.07,113.85,21500,0.93,4.6,3014730
PRD-2033,Outdoor Tech,Europe,196000,147000,198.45,68.82,7100,0.61,4.3,577373
PRD-3297,Office Equipment,Europe,119000,,83.66,32.3,11700,0.78,3.6,411912
PRD-2235,Personal Audio,Europe,91000,82000,84.75,29.15,41700,0.79,4.6,2145520
PRD-3250,Health & Fitness,Latin America,121000,75000,91.54,37.08,13000,0.74,4.6,511980.0000000001
PRD-1377,Office Equipment,Europe,122000,59000,91.67,34.34,11500,0.78,4.3,478295
PRD-2375,Kitchen Appliances,Europe,214000,168000,256.41,95.04,15800,0.84,4.5,2167646
PRD-3169,Smart Home,Middle East,168000,119000,240.9,-82.72,7500,0.53,4.7,899350
PRD-2401,Smart Home,North America,301000,251000,281.79,114.45,24700,0.95,4.6,3581298.000000001
PRD-1258,Home Automation,Asia-Pacific,237000,175000,219.45,71.44,18000,0.74,4,2252180
PRD-3180,Consumer Electronics,Latin America,180000,130000,169.59,68.2,8500,0.61,4.7,551815
PRD-2434,Personal Audio,Asia-Pacific,85000,59000,65.99,19.74,45800,0.82,4.5,1974250
PRD-3049,Smart Home,Middle East,178000,118000,227.76,85.36,7800,0.53,4.4,814719.9999999998
PRD-1878,Office Equipment,North America,82000,57000,68.37,26.4,15700,0.73,3.5,519929.0000000001
PRD-1830,Consumer Electronics,Latin America,163000,108000,145.59,66.34,8900,0.61,3.8,434325
PRD-2897,Gaming Gear,Asia-Pacific,204000,182000,183.59,71.4,19400,0.74,4.4,1790486
PRD-2118,Office Equipment,North America,73000,58000,62.57,24.96,14100,0.73,4,399301
PRD-2817,Office Equipment,Europe,111000,67000,80.99,36.38,14500,0.78,4.6,468844.9999999999
PRD-3121,Smart Home,North America,285000,196000,265.05,95.55,27600,0.95,4.2,4197200
PRD-2755,Personal Audio,Latin America,71000,46000,51.99,17.95,21100,0.69,4.2,601244.0000000001
PRD-3199,Smart Home,Middle East,140000,94000,221.19,95.92,8100,0.53,4.5,780687
PRD-2082,Smart Home,Europe,178000,112000,136.05,62.06,13800,0.81,4.2,731062.0000000001
PRD-3132,Smart Home,Europe,167000,113000,136.05,62.06,12100,0.81,3.8,615279.0000000001
PRD-2393,Outdoor Tech,Europe,162000,111000,192.78,77.7,9300,0.61,4.1,797244
PRD-2150,Consumer Electronics,Europe,432000,300000,464.07,193.05,12500,0.86,5,2655750
PRD-1105,Personal Audio,Latin America,74000,44000,47.49,16.84,20500,0.69,4.2,510325
PRD-2918,Home Automation,Europe,311000,187000,243.78,95.55,14400,0.77,4.5,1636512.0000000005
PRD-3413,Outdoor Tech,Europe,182000,142000,170.1,66.6,7400,0.61,3.9,441900
PRD-3190,Health & Fitness,Latin America,91000,65000,109.45,33.84,11000,0.74,3.9,675710
PRD-3443,Outdoor Tech,Europe,209000,112000,192.78,77.7,8200,0.61,3.7,622656
PRD-2690,Consumer Electronics,,448000,269000,494.01,187.2,12300,0.86,4.8,3056763
PRD-1917,Office Equipment,Europe,127000,72000,97.01,33.32,11200,0.78,4,514328
PRD-2409,Consumer Electronics,Asia-Pacific,360000,258000,319,112.24,17400,0.85,4.5,2979624
PRD-3033,Outdoor Tech,North America,213000,139000,180.15,70.4,11300,0.77,3.8,888175
PRD-3302,Wearable Tech,Europe,260000,172000,219.84,95.04,15500,0.77,4.6,1502400
PRD-2069,health & fitness,Middle East,128000,88000,125.1,46.8,6900,0.6,4.4,324270
PRD-1916,Gaming Gear,North America,343000,220000,335.04,145.8,19100,0.89,5,3051484
PRD-2775,Personal Audio,Europe,95000,74000,72.75,28.36,41000,0.79,4.3,1650990
PRD-2313,Outdoor Tech,North America,165000,131000,154.65,68.48,10000,0.77,4.2,565700
PRD-2561,Consumer Electronics,North America,223000,189000,203.99,83.99,15300,0.84,4.9,1424000.0000000002
PRD-1055,Kitchen Appliances,Europe,223000,150000,248.64,106.92,12300,0.84,4.5,1370155.9999999995
PRD-2520,Consumer Electronics,Latin America,184000,106000,150.39,58.9,9100,0.61,4.7,542558.9999999998
PRD-2333,Outdoor Tech,Europe,167000,130000,187.11,71.04,7700,0.61,4.5,596739
PRD-2282,Wearable Tech,Europe,231000,184000,247.32,89.76,12800,0.77,4.8,1601768
PRD-1919,Health & Fitness,Middle East,117000,81000,129.27,51.48,6700,0.6,4.3,323193.0000000001
PRD-1980,Consumer Electronics,Latin America,177000,118000,174.39,60.76,9300,0.61,3.9,761759
PRD-3363,Outdoor Tech,North America,211000,133000,154.65,68.48,13300,0.77,,802061
PRD-2224,Personal Audio,Asia-Pacific,81000,62000,65.99,19.74,36500,0.82,4.8,1545125
PRD-1293,Outdoor Tech,North America,202000,140000,175.05,64.64,12600,0.77,4.4,1049166.0000000002
PRD-1547,Gaming Gear,Asia-Pacific,183000,152000,194.39,69.36,20500,0.74,4.6,2228114.9999999995
PRD-1428,Office Equipment,North America,88000,43000,60.63,22.8,13800,0.73,4.2,391054
PRD-1585,Personal Audio,Latin America,79000,45000,48.99,18.5,16700,0.69,4.3,385183.00000000006
PRD-1597,Office Equipment,Latin America,90000,54000,79.72,29.68,8200,0.6,3.9,266328
PRD-1492,Wearable Tech,Asia-Pacific,316000,192000,266.97,103.88,16300,0.8,4.1,2150367.0000000005
PRD-1724,Wearable Tech,North America,285000,221000,296.01,110.4,18400,0.93,4,2909223.9999999995
PRD-2569,Smart Home,Middle East,167000,113000,221.19,95.92,6300,0.53,4.3,509201
PRD-1870,Health & Fitness,Latin America,96000,78000,106.47,38.16,12500,0.74,3.9,679875
PRD-1331,Consumer Electronics,North America,260000,157000,185.99,79.19,15300,0.84,5.5,1217040.0000000002
PRD-3137,Gaming Gear,Asia-Pacific,179000,136000,167.39,67.32,26200,0.74,5,2306834
PRD-1516,Kitchen Appliances,Latin America,122000,81000,134.16,52.38,9100,0.69,4.4,541198
PRD-3354,Kitchen Appliances,North America,187000,123000,229.95,81.88,13900,0.83,4.6,1748173
PRD-1836,Gaming Gear,Middle East,199000,146000,201.39,79.2,6500,0.5,4,449234.9999999999
PRD-2644,Personal Audio,Asia-Pacific,89000,55000,65.99,19.74,37800,0.82,4.2,1604250
PRD-1877,Gaming Gear,Asia-Pacific,181000,144000,167.39,67.32,24200,0.74,4.6,2096694
PRD-2422,Wearable Tech,Asia-Pacific,316000,192000,252,106.82,15000,0.8,,1669700
PRD-2270,Consumer Electronics,Europe,408000,302000,494.01,187.2,12000,0.86,4.3,2971720
PRD-1223,Outdoor Tech,Europe,184000,148000,181.44,79.92,7300,0.61,4.2,409096
PRD-1662,Smart Home,Europe,160000,126000,136.05,62.06,13400,0.81,4.8,705466.0000000001
PRD-1931,Consumer Electronics,North America,263000,166000,203.99,83.99,17700,0.84,4.7,1695000.0000000005
PRD-1697,Gaming Gear,Asia-Pacific,200000,166000,188.99,63.24,21300,0.74,4.7,2312475
PRD-2275,Personal Audio,Latin America,66000,45000,50.49,20.17,17100,0.69,4.1,407472
PRD-1525,Personal Audio,Latin America,60000,38000,47.49,16.84,21100,0.69,3.6,548715
PRD-1617,Office Equipment,Europe,109000,60000,83.66,32.3,15700,0.78,3.8,637352
PRD-2815,Personal Audio,Latin America,69000,40000,53.49,19.61,16700,0.69,3.8,456796
PRD-1865,Kitchen Appliances,Europe,238000,149000,271.95,92.07,11900,0.84,4.6,1753572
PRD-1137,Office Equipment,Europe,101000,58000,80.99,36.38,12800,0.78,3.7,412007.9999999999
PRD-2628,Office Equipment,North America,90000,48000,58.7,25.68,18900,0.73,3.9,486078.0000000001
PRD-3499,Smart Home,Middle East,,113000,208.05,80.08,5800,0.53,4.7,462226.0000000001
PRD-3350,Consumer Electronics,Europe,440000,241000,449.1,175.5,11600,,4.8,2492760.0000000005
PRD-3193,Health & Fitness,Asia-Pacific,128000,97000,96.29,34.45,28800,0.78,4.6,1555992
PRD-3089,Health & Fitness,Middle East,143000,82000,137.61,49.92,5400,0.6,4.2,248526.00000000006
PRD-2540,Consumer Electronics,Europe,416000,244000,508.98,204.75,11900,0.86,4.7,2960337
PRD-3174,Kitchen Appliances,North America,207000,144000,209.25,95.23,12100,0.83,4.7,1028642
PRD-2004,Kitchen Appliances,North America,233000,141000,243.75,97.9,14600,0.83,4.8,1755410
PRD-1394,Wearable Tech,North America,288000,231000,278.07,113.85,15300,0.93,4,1993566
PRD-2922,Smart Home,Europe,158000,120000,136.05,62.06,14500,0.81,4.1,794855.0000000002
PRD-2417,Gaming Gear,Asia-Pacific,189000,176000,178.19,65.28,23800,1.11,4.3,2322258
PRD-1944,Kitchen Appliances,North America,240000,162000,236.85,89.89,12100,0.83,4.1,1376215.9999999998
PRD-2467,Office Equipment,Latin America,93000,62000,73.01,28,6200,0.6,3.6,124062.00000000006
PRD-1397,Gaming Gear,Asia-Pacific,231000,138000,161.99,61.2,19600,0.74,4.5,1606484.0000000002
PRD-1831,Smart Home,North America,341000,189000,290.16,101.85,22900,0.95,5,3782299.000000001
PRD-1132,Wearable Tech,Asia-Pacific,280000,186000,274.45,92.12,18800,0.8,4.3,2961803.9999999995
PRD-1178,Home Automation,Europe,294000,189000,236.61,87.36,16300,0.77,5,1949775
PRD-1593,Outdoor Tech,North America,174000,124000,164.85,66.56,13600,0.77,4.6,1038744
PRD-2880,Consumer Electronics,Latin America,152000,109000,145.59,66.34,7700,0.61,4.5,349225
PRD-2643,Outdoor Tech,North America,163000,125000,164.85,66.56,12000,0.77,4.2,891480
PRD-2311,Smart Home,North America,267000,198000,298.53,111.3,28300,0.95,5,4833608.999999999
PRD-3197,Gaming Gear,Asia-Pacific,237000,162000,172.79,73.44,21100,0.74,4.6,1697284.9999999998
PRD-2261,Consumer Electronics,North America,260000,157000,215.99,81.59,14100,0.84,4.7,1478040
PRD-3185,Kitchen Appliances,Europe,228000,166000,279.72,100.98,15400,0.84,4.6,2358596
PRD-2801,Consumer Electronics,North America,270000,193000,185.99,79.19,13800,0.84,4.4,1010840.0000000002
PRD-2394,Kitchen Appliances,North America,224000,157000,216.15,84.55,13800,0.83,4.4,1435080.0000000002
PRD-3116,Gaming Gear,North America,350000,245000,324.57,133.65,17200,0.89,4.8,2688824
PRD-2595,Personal Audio,Europe,104000,84000,82.35,26.77,36400,0.79,4.4,1835112
PRD-3179,Health & Fitness,Middle East,116000,77000,129.27,51.48,7300,0.6,3.6,374867.0000000001
PRD-3399,Consumer Electronics,Asia-Pacific,350000,223000,309.43,126.88,19600,0.85,4.5,3004980
PRD-2222,Wearable Tech,Europe,239000,156000,240.45,81.84,16100,0.77,4.1,2158620.9999999995
PRD-1779,CONSUMER ELECTRONICS,Asia-Pacific,310000,228000,319,112.24,20900,0.85,4.3,3783284
PRD-3009,Consumer Electronics,Asia-Pacific,363000,198000,347.71,119.56,20900,0.85,4.9,4207334.999999999
PRD-1963,Health & Fitness,Asia-Pacific,109000,109000,88.19,32.5,28800,0.78,5,1385872
PRD-2089,Smart Home,Middle East,155000,109000,214.62,88,7800,0.53,4.2,723636
PRD-1699,Smart Home,Middle East,162000,97000,240.9,82.72,8200,0.53,4.6,1038076
PRD-2772,Smart Home,Europe,200000,109000,140.53,55.1,14000,0.81,4,887020
PRD-1425,Personal Audio,Europe,86000,83000,77.55,27.56,28400,0.79,4.5,1250715.9999999998
PRD-2670,Consumer Electronics,Latin America,198000,116000,145.59,66.34,9400,0.61,3.7,430950
PRD-2177,Gaming Gear,Asia-Pacific,214000,173000,194.39,69.36,26000,0.74,4.8,2863779.9999999995
PRD-2777,Gaming Gear,Asia-Pacific,216000,181000,172.79,73.44,20500,0.74,5,1639674.9999999998
PRD-1469,Health & Fitness,Middle East,127000,84000,141.78,54.6,5800,0.6,4,294644.00000000006
PRD-1221,Health & Fitness,North America,141000,104000,109.19,44.94,27000,0.8,4.2,1489750
PRD-1403,Outdoor Tech,Europe,167000,130000,198.45,68.82,8400,0.61,4.1,791892
PRD-3024,Kitchen Appliances,North America,189000,131000,216.15,84.55,11500,0.83,4.6,1193400.0000000002
PRD-2794,Personal Audio,Asia-Pacific,96000,61000,64.19,22.26,39500,0.82,4.3,1499234.9999999998
PRD-1201,Smart Home,North America,295000,229000,290.16,101.85,27000,0.95,4.9,4560370.000000001
PRD-2049,Consumer Electronics,Asia-Pacific,,251000,328.57,123.22,20600,0.85,4.7,3662210
PRD-2488,Home Automation,Asia-Pacific,202000,155000,195.51,76,18000,0.74,4.6,1794180
PRD-3474,Kitchen Appliances,North America,242000,125000,243.75,97.9,13200,0.83,4.9,1558220
PRD-1918,Home Automation,Asia-Pacific,232000,160000,201.5,82.84,16900,0.74,4,1613354
PRD-1144,Personal Audio,Asia-Pacific,74000,57000,58.79,21,38200,0.82,4.3,1312578
PRD-3388,Home Automation,Asia-Pacific,242000,143000,201.5,82.84,15400,0.74,4.1,1442364
PRD-2717,Gaming Gear,Asia-Pacific,223000,155000,167.39,67.32,25500,0.74,4.5,2173785
PRD-1867,Office Equipment,Latin America,92000,59000,81.95,26.32,8100,0.6,3.5,299603
PRD-1930,Health & Fitness,Latin America,92000,68000,109.45,33.84,10000,0.74,4.6,596100
PRD-3392,Wearable Tech,Europe,289000,159000,206.1,79.2,13500,0.77,4,1265150
PRD-2844,Kitchen Appliances,North America,209000,151000,243.75,97.9,15500,0.83,4.7,1900675
PRD-1962,Smart Home,Europe,189000,110000,158.47,63.8,14400,0.81,3.9,1064248
PRD-1299,CONSUMER ELECTRONICS,Asia-Pacific,287000,219000,309.43,126.88,25200,0.85,5,4094260
PRD-1649,Health & Fitness,Middle East,115000,72000,125.1,46.8,6700,0.6,3.9,337610
PRD-2187,Office Equipment,Europe,95000,59000,80.99,36.38,11000,0.78,4.4,336709.99999999994
PRD-1959,Consumer Electronics,Asia-Pacific,281000,196000,347.71,119.56,23700,0.85,5,4930154.999999999
PRD-1907,Gaming Gear,Asia-Pacific,210000,157000,188.99,63.24,26200,0.74,4.4,2927650
PRD-2523,Outdoor Tech,North America,174000,124000,154.65,68.48,12600,0.77,3.9,787742
PRD-1675,Personal Audio,Latin America,65000,42000,45.99,19.06,21900,0.69,3.7,482767.0000000001
PRD-1100,Consumer Electronics,Europe,456000,297000,464.07,193.05,9500,0.86,4.4,1821690
PRD-1850,Consumer Electronics,Europe,368000,249000,494.01,187.2,11700,0.86,4.9,2972677
PRD-2195,Kitchen Appliances,Europe,235000,141000,233.1,89.1,14100,0.84,4.6,1654400
PRD-1788,Office Equipment,North America,74000,45000,58.7,25.68,17900,0.73,4,472058
PRD-3087,Office Equipment,Europe,113000,73000,83.66,32.3,14400,0.78,3.9,553584
PRD-3367,Office Equipment,Latin America,80000,58000,75.25,30.52,8100,0.6,4.2,224313.00000000006
PRD-2108,Home Automation,Europe,294000,189000,222.27,90.09,14900,0.77,4.4,1486482
PRD-3241,Smart Home,North America,267000,198000,281.79,114.45,26300,0.95,4.5,3936042.000000001
PRD-2639,Health & Fitness,Middle East,153000,86000,150.12,53.04,7400,0.6,3.9,479392.0000000001
PRD-1340,Consumer Electronics,Europe,408000,302000,523.95,181.35,12900,0.86,5,3709540
PRD-2504,Wearable Tech,North America,358000,202000,287.04,124.2,16200,0.93,4.3,2078008.0000000005
PRD-2841,Health & Fitness,North America,159000,102000,130.79,41.16,25500,0.8,4.4,2024565
PRD-2556,,Middle East,189000,154000,189.99,66.24,4700,0.5,3.6,238625.00000000012
PRD-3358,Home Automation,Asia-Pacific,209000,178000,219.45,71.44,14000,0.74,4.3,1685139.9999999998
PRD-2368,Home Automation,Asia-Pacific,216000,153000,183.54,78.28,12500,0.74,4.3,946750
PRD-3022,Wearable Tech,Asia-Pacific,319000,201000,274.45,92.12,17600,0.8,3.8,2689007.9999999995
PRD-2225,Kitchen Appliances,Europe,269000,154000,264.18,103.95,15300,0.84,4.4,2028519.0000000005
PRD-2756,Gaming Gear,North America,305000,238000,335.04,145.8,20300,0.89,5,3298572
PRD-1212,Smart Home,Europe,173000,131000,149.5,53.36,11900,0.81,4.5,840066
PRD-3270,Consumer Electronics,Latin America,200000,122000,159.99,57.04,7200,0.61,4.1,419240.0000000001
PRD-1521,Health & Fitness,North America,165000,90000,127.19,46.2,28900,0.8,4.4,2085611
PRD-1312,Wearable Tech,Asia-Pacific,255000,219000,244.51,98,14100,0.8,4.2,1591790.9999999998
PRD-2424,Kitchen Appliances,North America,187000,123000,243.75,97.9,15100,0.83,4.2,1892335
PRD-1787,Gaming Gear,Asia-Pacific,223000,155000,178.19,65.28,18300,0.74,7.6,1688253
PRD-3418,Home Automation,Asia-Pacific,202000,155000,183.54,78.28,16800,0.74,3.9,1411367.9999999998
PRD-3127,Office Equipment,Latin America,91000,57000,81.95,26.32,8800,0.6,3.6,341544
PRD-1001,Consumer Electronics,North America,250000,180000,199.99,79.99,15000,0.85,4.6,1370000.0000000002
PRD-1563,,North America,205000,114000,180.15,70.4,12500,0.77,4.8,1052875
PRD-3263,Outdoor Tech,Europe,167000,130000,175.77,73.26,7100,0.61,3.8,430821
PRD-2567,Gaming Gear,Asia-Pacific,206000,141000,172.79,73.44,24600,0.74,4.4,2097010
PRD-3097,Office Equipment,Latin America,78000,52000,73.01,28,8100,0.6,3.8,234581.00000000006
PRD-2189,Health & Fitness,Middle East,120000,89000,133.44,56.16,6600,0.6,3.6,301048
PRD-1106,Gaming Gear,North America,322000,223000,376.92,137.7,19700,0.89,5,4167634.000000001
PRD-2045,Kitchen Appliances,Europe,216000,176000,240.87,98.01,13600,0.84,4.5,1550896.0000000002
PRD-3192,Smart Home,Europe,162000,132000,140.53,55.1,14400,0.81,4.5,936192
PRD-2548,Home Automation,Asia-Pacific,196000,132000,201.5,82.84,14500,0.74,4.2,1392570
PRD-2529,Consumer Electronics,Asia-Pacific,340000,260000,338.14,134.2,25200,0.85,5.1,4539288
PRD-1324,Personal Audio,Asia-Pacific,93000,67000,64.19,22.26,43700,0.82,5.3,1672340.9999999998
PRD-2112,Smart Home,Europe,203000,121000,153.99,58.58,14900,0.81,4,1097609.0000000002
PRD-2280,Consumer Electronics,Latin America,,104000,164.79,62.62,10000,0.61,4.1,766699.9999999999
PRD-3422,Wearable Tech,Europe,244000,173000,233.58,92.4,14800,0.77,4.9,1672464
PRD-2160,Consumer  Electronics,Latin America,161000,102000,155.19,64.48,10400,0.61,3.8,680383.9999999999
PRD-3019,Smart Home,Middle East,155000,109000,201.48,90.64,7200,0.53,4.6,534047.9999999999
PRD-2103,Outdoor Tech,North America,213000,139000,154.65,68.48,12300,0.77,4.5,707891
PRD-1471,Smart Home,North America,301000,251000,298.53,111.3,26800,0.95,4.2,4465763.999999999
PRD-1081,Smart Home,North America,313000,227000,273.42,105,28300,0.95,4.6,4226286
PRD-3432,Smart Home,Europe,196000,134000,158.47,63.8,13100,0.81,4,910177
PRD-2535,Personal Audio,Europe,106000,72000,79.95,24.38,30100,0.79,4.8,1494657.0000000002
PRD-1388,Home Automation,Europe,308000,178000,236.61,87.36,20100,0.77,4.8,2513925
PRD-1770,Consumer Electronics,Latin America,168000,125000,174.39,60.76,7300,0.61,4.2,536499
PRD-2157,Office Equipment,Europe,113000,73000,89,31.28,15500,0.78,4.6,708660
PRD-1229,Health & Fitness,Middle East,143000,82000,125.1,46.8,6500,0.6,3.5,283950
PRD-3184,Personal Audio,Asia-Pacific,93000,67000,56.99,19.11,37000,0.82,5,1241560
PRD-1883,Outdoor Tech,Europe,181000,135000,204.12,75.48,10200,0.61,,996127.9999999998
PRD-1285,Personal Audio,Latin America,68000,51000,51.99,17.95,15200,0.69,4.1,398408.0000000001
PRD-2664,,North America,229000,126000,223.05,92.56,13600,0.83,5.8,1419664.0000000002
PRD-3017,Gaming Gear,Asia-Pacific,191000,184000,194.39,69.36,18300,0.74,4.7,1913048.9999999995
PRD-1329,,Asia-Pacific,333000,237000,347.71,119.56,18300,0.85,5,3605144.9999999995
PRD-3426,Gaming Gear,Middle East,195000,132000,172.89,77.04,5600,0.5,4.4,209759.99999999988
PRD-1894,Personal Audio,Asia-Pacific,82000,65000,62.39,20.37,46600,0.82,4.8,1811131.9999999998
PRD-1170,Consumer Electronics,Latin America,166000,120000,159.99,57.04,9500,0.61,3.8,692025.0000000001
PRD-2582,Wearable Tech,Europe,273000,161000,233.58,92.4,13900,0.77,3.9,1528402
PRD-3208,Home Automation,Asia-Pacific,262000,164000,183.54,78.28,13400,0.74,4.2,984483.9999999998
PRD-1518,Office Equipment,North America,72000,,70.31,23.52,18100,0.73,3.6,719899.0000000001
PRD-2990,Consumer Electronics,Europe,388000,319000,464.07,193.05,13200,0.86,5,2870463.9999999995
PRD-2606,Gaming Gear,North America,385000,215000,345.51,129.6,19500,0.89,4.9,3610245
PRD-1012,Wearable Tech,Asia-Pacific,280000,190000,249.5,98,16800,0.79,4.3,2075200
PRD-1056,Gaming Gear,Middle East,215000,116000,207.09,70.56,4800,0.5,3.7,324344
PRD-1628,Home Automation,Europe,275000,181000,215.1,81.9,18400,0.77,4.3,1994880
PRD-1572,Smart Home,Europe,196000,134000,145.02,60.32,10000,0.81,4.3,517000.0000000001
PRD-3288,Office Equipment,North America,88000,43000,66.44,24.24,17800,0.73,3.9,620160
PRD-1845,Personal Audio,Europe,95000,74000,77.55,27.56,29400,0.79,3.9,1300705.9999999998
PRD-1657,Office Equipment,Latin America,87000,63000,81.95,26.32,6500,0.6,3.5,211595
PRD-3356,Gaming Gear,North America,308000,250000,366.45,125.55,23600,0.89,5,5127239.999999999
PRD-1864,Personal Audio,Asia-Pacific,96000,61000,55.19,21.63,42800,0.82,5,1279368
PRD-3150,Consumer Electronics,Latin America,156000,121000,150.39,58.9,7700,0.61,3.8,427472.9999999999
PRD-2934,Kitchen Appliances,North America,233000,141000,229.95,81.88,13500,0.83,4.1,1624945
PRD-1255,Personal Audio,Latin America,80000,48000,45.99,19.06,21300,0.69,4.3,445609.0000000001
PRD-3439,Smart Home,Middle East,172000,96000,201.48,90.64,7400,0.53,4,552215.9999999999
PRD-2088,Office Equipment,North America,86000,,68.37,26.4,19200,0.73,4.2,665824.0000000001
PRD-1444,Personal Audio,Asia-Pacific,88000,68000,55.19,21.63,41600,0.82,4.5,1240096
PRD-1869,Consumer Electronics,,347000,212000,299.86,115.9,17800,0.85,4.8,2715488
PRD-2966,Gaming Gear,North America,322000,223000,335.04,145.8,16400,0.89,4.7,2558536
PRD-1943,Outdoor Tech,Europe,175000,116000,170.1,66.6,8200,0.61,3.8,557700
PRD-1911,Health & Fitness,North America,159000,102000,112.79,39.9,27400,0.8,4,1736186.0000000005
PRD-1922,Wearable Tech,Europe,278000,179000,206.1,79.2,14900,0.77,3.9,1433809.9999999998
PRD-2824,Personal Audio,Asia-Pacific,82000,65000,58.79,21,43300,0.82,4.1,1489307
PRD-3473,Outdoor Tech,Europe,177000,122000,175.77,73.26,8900,0.61,3.5,613339
PRD-1900,Health & Fitness,Latin America,110000,63000,97.51,36,9000,0.74,3.7,380590
PRD-3096,Gaming Gear,Middle East,197000,139000,201.39,79.2,7000,0.5,4.4,519329.9999999999
PRD-2142,Smart Home,Europe,173000,131000,140.53,55.1,10900,0.81,3.8,627187.0000000001
PRD-1742,Wearable Tech,Europe,221000,149000,233.58,92.4,13100,0.77,4,1479458
PRD-1591,Smart Home,North America,282000,253000,256.68,108.15,382500,0.95,4.5,3252515
PRD-2091,Health & Fitness,North America,146000,120000,123.59,42.42,20600,0.8,5,1406102
PRD-2030,Consumer Electronics,Europe,456000,297000,538.92,198.9,13100,0.86,4.8,3701262
PRD-1538,Home Automation,Europe,245000,194000,229.44,98.28,20800,0.77,4.9,2289128
PRD-1825,Personal Audio,Latin America,71000,46000,54.99,17.39,22600,0.69,3.8,732760
PRD-1722,Smart Home,Europe,155000,108000,140.53,55.1,10500,0.81,4.4,634015.0000000001
PRD-1013,Outdoor Tech,Europe,190000,130000,189,74,8500,0.68,4,657500
PRD-2403,Outdoor Tech,North America,185000,123000,180.15,70.4,13200,0.77,4.7,1140700
PRD-2846,Gaming Gear,North America,343000,220000,314.1,121.5,17400,0.89,4.4,2788240.0000000005
PRD-2534,Wearable Tech,North America,304000,218000,322.92,117.3,17800,0.93,4.1,3138036
PRD-1065,Personal Audio,Europe,103000,960000,79.95,24.38,33600,0.79,4.7,1684152.0000000002
PRD-1048,Home Automation,Asia-Pacific,225000,136000,219.45,71.44,14600,0.74,4.3,1799946
PRD-1452,Smart Home,Europe,207000,133000,136.05,62.06,10600,,4,444294.0000000001
PRD-1422,Smart Home,Europe,182000,124000,149.5,53.36,14600,0.81,4.2,1097644
PRD-1837,Office Equipment,Latin America,79000,55000,73.01,28,7400,0.6,3.5,199074.00000000006
PRD-1500,Consumer Electronics,Latin America,165000,114000,169.59,68.2,7400,0.61,3.8,471286
PRD-2385,Personal Audio,Europe,99000,65000,82.35,26.77,28700,0.79,4.7,1431146
PRD-3016,Kitchen Appliances,Latin America,147000,78000,122.55,49.14,9000,0.69,4.3,435690
PRD-2505,Personal Audio,Europe,93000,66000,87.15,25.97,41300,0.79,3.9,2367734.0000000005
PRD-2453,Outdoor Tech,Europe,215000,131000,198.45,68.82,7300,0.61,3.7,600299
PRD-1030,Health & Fitness,Latin America,,68000,99.5,36,11200,0.67,4.2,538200
PRD-2355,Personal Audio,Europe,86000,83000,72.75,28.36,39900,0.79,4.9,1602161
PRD-3467,Gaming Gear,Asia-Pacific,242000,178000,178.19,65.28,20900,0.74,5,1939819
PRD-1798,Home Automation,Asia-Pacific,246000,158000,189.53,69.16,17700,0.74,4.8,1726549
PRD-2358,Office Equipment,North America,,43000,70.31,23.52,19000,0.73,3.5,758010.0000000001
PRD-2158,Home Automation,Asia-Pacific,205000,163000,183.54,78.28,15400,0.74,4.6,1253003.9999999998
PRD-3075,Personal Audio,Europe,81000,64000,84.75,29.15,29400,0.79,4.5,1489640
PRD-2620,Health & Fitness,Latin America,105000,67000,91.54,37.08,10200,0.74,4.4,383492.0000000001
PRD-3466,Kitchen Appliances,Latin America,137000,75000,138.03,57.24,10200,0.69,4.6,612057.9999999999
PRD-3176,Gaming Gear,North America,340000,285000,335.04,145.8,20900,0.89,4.4,3330116
PRD-2855,Kitchen Appliances,Europe,230000,174000,264.18,103.95,13200,0.84,4.6,1711036.0000000005
